mz_rt,estimate,estimate1,estimate2,.y.,group1,group2,n1,n2,statistic,p,df,conf.low,conf.high,method,alternative,p.signif
411.3134_5.63,-32637.31884057971,19289.333333333332,51926.65217391304,rel_abund,Control,Tomato,12,23,-5.242708182605125,3.88e-5,20.10131534608943,-45618.82775578721,-19655.809925372203,T-test,two.sided,****
411.3137_6.23,-227129.52173913043,0,227129.52173913043,rel_abund,Control,Tomato,12,23,-14.653032043216998,7.86e-13,22,-259275.61932981655,-194983.4241484443,T-test,two.sided,****
411.3138_5.83,-107953.69565217392,0,107953.69565217392,rel_abund,Control,Tomato,12,23,-10.527966728403582,4.7e-10,22,-129219.17528080303,-86688.2160235448,T-test,two.sided,****
413.3283_5.9,-43327.17391304348,0,43327.17391304348,rel_abund,Control,Tomato,12,23,-11.658902821352433,6.9e-11,22,-51034.1649106948,-35620.18291539216,T-test,two.sided,****
413.3285_6.97,-71905.21376811594,465.9166666666667,72371.13043478261,rel_abund,Control,Tomato,12,23,-9.917150068092958,1.29e-9,22.182055144176516,-86934.87013872365,-56875.557397508215,T-test,two.sided,****
413.3289_5.38,-25806.782608695652,0,25806.782608695652,rel_abund,Control,Tomato,12,23,-12.883789557834923,1e-11,22,-29960.83923785576,-21652.725979535546,T-test,two.sided,****
413.3295_6.42,-1121162.2173913044,0,1121162.2173913044,rel_abund,Control,Tomato,12,23,-13.055205364526884,7.75e-12,22,-1299263.4469374279,-943060.9878451809,T-test,two.sided,****
415.3447_6.1,-227367.88768115942,26138.416666666668,253506.30434782608,rel_abund,Control,Tomato,12,23,-12.822451144190053,8.66e-13,26.161639609325388,-263805.607966898,-190930.16739542078,T-test,two.sided,****
416.2242_9.82,33396.134057971016,86565.91666666667,53169.782608695656,rel_abund,Control,Tomato,12,23,2.5751871505342794,0.0193,17.534752427321813,6098.56377917125,60693.70433677078,T-test,two.sided,*
422.2656_5.74,-34466.29710144927,38426.833333333336,72893.13043478261,rel_abund,Control,Tomato,12,23,-3.5986876452295706,0.0011,30.887638706960292,-54002.54171953948,-14930.052483359068,T-test,two.sided,**
